Card,Suit,Rank,Fifty-Four Devils Keywords,It's Written In The Cards Keywords
Ace of Hearts,Hearts,Ace,"New romance, Rekindled feeling, Loneliness","The home, Surroundings, Beginnings"
Two of Hearts,Hearts,Two,"Sex, Intimacy, Coupling","Good news, Loving message, Time marker"
Three of Hearts,Hearts,Three,"Wish granted, Fulfillment, Good fortune","A child, Friendly third party, Mystic interests"
Four of Hearts,Hearts,Four,"Preparation, Incubation, Stagnation","Sex, Pleasure, Entertaining"
Five of Hearts,Hearts,Five,"Romance, Marriage, Fertility","Female friend, New clothes, Tenderness"
Six of Hearts,Hearts,Six,"Loyalty, Longevity, Faithful mate","New friend, Creativity, Learning"
Seven of Hearts,Hearts,Seven,"Hate, Fear, Hidden enemy","Favorable change, New surroundings, A door opening"
Eight of Hearts,Hearts,Eight,"Flirtation, Wooing, Tenderness","Mutual love, Justice, Balance"
Nine of Hearts,Hearts,Nine,"New home, Fresh start, Family","The wish card, Fulfillment, Companionship"
Ten of Hearts,Hearts,Ten,"Happy family, Contentment, Warmth","Wish fulfilled, Happiness, Marriage"
Jack of Hearts,Hearts,Jack,"Baby, Pregnancy, Young boy","Vibrant youth, Quick-witted, Ardent"
Queen of Hearts,Hearts,Queen,"The client, Soulmate, Abiding love","Mother, Protective, Warm"
King of Hearts,Hearts,King,"The client, Soulmate, True love","Father figure, Benevolent, Kindhearted"
Ace of Diamonds,Diamonds,Ace,"News, Money, Shifting luck","Important document, Jewelry, Authority"
Two of Diamonds,Diamonds,Two,"Shared news, Financial partnership, Gossip","Small check, Money news, Matched jewelry"
Three of Diamonds,Diamonds,Three,"Gifts, Generosity, Free spending","Work, Repayment, Growing success"
Four of Diamonds,Diamonds,Four,"Financial stasis, Waiting, No news","Office, Money kept safe, Gift of jewelry"
Five of Diamonds,Diamonds,Five,"Good luck, Laughter, Friends","Legal papers, Documents, Clearing matters"
Six of Diamonds,Diamonds,Six,"Right path, Good decisions, Coming success","Raise, Promotion, Bonus"
Seven of Diamonds,Diamonds,Seven,"Lies, Deceit, Trouble ahead","Financial change, Opportunity, Gambling"
Eight of Diamonds,Diamonds,Eight,"Gossip, Idle chatter, Wit","Extra money, Side income, Winnings"
Nine of Diamonds,Diamonds,Nine,"Daydreams, Contentment, Rest","A check, Government money, Pension"
Ten of Diamonds,Diamonds,Ten,"Joy, Windfall, Fulfillment","Career, Success, Wealth"
Jack of Diamonds,Diamonds,Jack,"Good news, Young woman, Arrival","Flashy youth, Self-indulgent, Petty official"
Queen of Diamonds,Diamonds,Queen,"Dutiful wife, Wedding, Sensuality","Fun-loving woman, Pleasure-seeking, The other woman"
King of Diamonds,Diamonds,King,"Financial wisdom, Power, Legal matters","Professional man, Fair-haired, Expertise"
Ace of Clubs,Clubs,Ace,"Solitude, Contemplation, Reevaluation","Phone call, Message, New venture"
Two of Clubs,Clubs,Two,"Handshake, Partnership, Alliance","Time marker, Partnership, Invitation"
Three of Clubs,Clubs,Three,"Obstacles, Perseverance, Overcoming","Luck, Profitable start, Collaboration"
Four of Clubs,Clubs,Four,"Potential, Groundwork, Patience","Vehicle, Construction, Craftsmanship"
Five of Clubs,Clubs,Five,"Health, Abundance, Recovery","Self-reliance, Effort, Meeting place"
Six of Clubs,Clubs,Six,"Purpose, Direction, Fulfillment","Tasks completed, Bills covered, Spending caution"
Seven of Clubs,Clubs,Seven,"Doubt, Worry, Mental blocks","Business change, Workplace, Rest needed"
Eight of Clubs,Clubs,Eight,"Camaraderie, Shop talk, Gathering","Conversation, Meetings, Patience"
Nine of Clubs,Clubs,Nine,"Reaping, Feeling lost, Hope","Big deal, Unexpected gain, Real estate"
Ten of Clubs,Clubs,Ten,"Abundance, Completion, Satisfaction","Business trip, Major transaction, Short journey"
Jack of Clubs,Clubs,Jack,"Friend, Sibling, Business news","Vibrant youth, Quick-witted, Goodhearted"
Queen of Clubs,Clubs,Queen,"Mother, Wise counsel, Nurturing","Career woman, Flirtatious, Good-humored"
King of Clubs,Clubs,King,"Father, Authority, Expectations","Successful man, Good judgment, Overcomes obstacles"
Ace of Spades,Spades,Ace,"Death, Transformation, Endings","Worry, Anxiety, Setback"
Two of Spades,Spades,Two,"Duel, Separation, Falling out","Grudge, Resentment, Ambivalence"
Three of Spades,Spades,Three,"Battle, Setbacks, Endurance","Interference, Quarrels, Delays"
Four of Spades,Spades,Four,"Immobilized, Warning, Dire stakes","Sickbed, Hospital, Family interference"
Five of Spades,Spades,Five,"Illness, Pain, Burying the hatchet","Running away, Operation, Slipping grades"
Six of Spades,Spades,Six,"Temptation, Vice, Bad decisions","Breaking away, Severed ties, Divorce"
Seven of Spades,Spades,Seven,"Tears, Violence, Hidden strength","Reversal, Unwanted change, Drink"
Eight of Spades,Spades,Eight,"Arguments, Miscommunication, Strife","Health warning, Disappointment, Hurt feelings"
Nine of Spades,Spades,Nine,"Funeral, Grief, Haunting past","Serious illness, Tragedy, Adversity"
Ten of Spades,Spades,Ten,"Aftermath, Moving on, Return to calm","Darkness, Pressure, Going in circles"
Jack of Spades,Spades,Jack,"Rebel, Bad news, Betrayal","Student, Unsettled, Immature"
Queen of Spades,Spades,Queen,"Female rival, Seduction, Jealousy","Widow, Spiteful, Scandal"
King of Spades,Spades,King,"Male rival, Wrath, Retribution","Authority, Ambition, Opportunist"
Joker,,Joker,"Mystery, The hidden, Surprises",
